Timestamp;unix data;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
16.10.2016;1476576000;635.26;641.4;635.18;638.97;1289.54;823539.55;638.63
17.10.2016;1476662400;638.97;639.99;632.1;636.91;3958.04;2516207.28;635.72
18.10.2016;1476748800;636.96;637.8;631.52;635.95;2731.18;1735476.56;635.43
19.10.2016;1476835200;635.95;638.04;624.13;627.98;4472.9;2824080.05;631.38
20.10.2016;1476921600;627.84;630.22;625;628.89;2040.01;1280448.68;627.67
21.10.2016;1477008000;628.05;632.36;627.5;629;3050.51;1919969.05;629.39
22.10.2016;1477094400;628.99;656;628.57;654.52;4351.62;2812594.62;646.33
23.10.2016;1477180800;654.52;656;647.51;648.74;2535.01;1651700.19;651.56
24.10.2016;1477267200;648.71;652.25;640;648.6;4679;3027622.03;647.07
25.10.2016;1477353600;649.03;657.58;643;651.97;6106.92;3982507.67;652.13
26.10.2016;1477440000;651.97;677;651.69;675.11;6716.23;4466380.41;665.01
27.10.2016;1477526400;674.63;685.89;665.59;684.71;4545.44;3090089.93;679.82
28.10.2016;1477612800;684.68;687.23;677.05;685.91;3574.08;2446577.64;684.53
29.10.2016;1477699200;685.91;717.99;684.89;711.13;4034.88;2839203.57;703.66
30.10.2016;1477785600;711.1;711.78;691.49;697.23;3752.53;2630802.8;701.08
31.10.2016;1477872000;697.1;706.97;683.6;697.01;4655.89;3246833.13;697.36
01.11.2016;1477958400;697.04;737;695.38;726.6;6570.02;4746887.12;722.51
02.11.2016;1478044800;726.6;742;717.32;742;4320.53;3133467.19;725.25
03.11.2016;1478131200;742;745.19;670.32;685.22;12102.24;8620853.88;712.34
04.11.2016;1478217600;684.84;707.67;681;702.7;5345.68;3725359.65;696.89
05.11.2016;1478304000;702.95;707.34;694.71;703.46;1918.31;1346262.96;701.8
06.11.2016;1478390400;703.33;714.36;697.92;709.93;2292.86;1620784.56;706.88
07.11.2016;1478476800;709.92;709.92;698.26;702.86;3020.87;2123754.48;703.03
08.11.2016;1478563200;702.86;712.92;701.02;709.31;5526.47;3905868.36;706.76
09.11.2016;1478649600;708.17;740.86;705.45;721.5;9726.25;7081641.53;728.1
10.11.2016;1478736000;721.5;722;707;714.47;4996.45;3570538.74;714.61
11.11.2016;1478822400;714.48;720.94;712.24;716.39;3328.33;2382869.96;715.94
12.11.2016;1478908800;716.39;716.39;701;702.28;2811.55;1988237.32;707.17
13.11.2016;1478995200;701.17;702.89;683.23;700.38;6023.55;4174451.24;693.02
14.11.2016;1479081600;700.38;705.89;697.14;703.82;7566.58;5302237.19;700.74
15.11.2016;1479168000;704.98;716.54;703.05;711.06;5668.94;4030616.4;711
